,2,3,4,5,6,7,8,9,10,A
A,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split
10,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
9,Split,Split,Split,Split,Split,Hit,Split,Split,Hit,Hit
8,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split
7,Split,Split,Split,Split,Split,Split,Hit,Hit,Hit,Hit
6,Split,Split,Split,Split,Split,Hit,Hit,Hit,Hit,Hit
5,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
4,Hit,Hit,Hit,Split,Split,Hit,Hit,Hit,Hit,Hit
3,Split,Split,Split,Split,Split,Split,Hit,Hit,Hit,Hit
2,Split,Split,Split,Split,Split,Split,Hit,Hit,Hit,Hit